Robot Drawing Waypoints:
----------------------

Point 175: X=212, Y=342, Z=0, Pen=Down
Point 176: X=211, Y=341, Z=0, Pen=Down
Point 177: X=210, Y=341, Z=0, Pen=Down
Point 178: X=209, Y=340, Z=0, Pen=Down
Point 179: X=208, Y=340, Z=0, Pen=Down
Point 180: X=206, Y=338, Z=0, Pen=Down
Point 181: X=205, Y=338, Z=0, Pen=Down
Point 182: X=203, Y=336, Z=0, Pen=Down
Point 183: X=202, Y=336, Z=0, Pen=Down
Point 184: X=200, Y=334, Z=0, Pen=Down
Point 185: X=198, Y=334, Z=0, Pen=Down
Point 186: X=184, Y=320, Z=0, Pen=Down
Point 187: X=184, Y=319, Z=0, Pen=Down
Point 188: X=181, Y=316, Z=0, Pen=Down
Point 189: X=181, Y=315, Z=0, Pen=Down
Point 190: X=179, Y=313, Z=0, Pen=Down
Point 191: X=179, Y=312, Z=0, Pen=Down
Point 192: X=177, Y=310, Z=0, Pen=Down
Point 193: X=177, Y=308, Z=0, Pen=Down
Point 194: X=176, Y=307, Z=0, Pen=Down
Point 195: X=176, Y=306, Z=0, Pen=Down
Point 196: X=175, Y=305, Z=0, Pen=Down
Point 197: X=175, Y=303, Z=0, Pen=Down
Point 198: X=174, Y=302, Z=0, Pen=Down
Point 199: X=174, Y=301, Z=0, Pen=Down
Point 200: X=173, Y=300, Z=0, Pen=Down
Point 201: X=173, Y=298, Z=0, Pen=Down
Point 202: X=172, Y=297, Z=0, Pen=Down
Point 203: X=172, Y=294, Z=0, Pen=Down
Point 204: X=171, Y=293, Z=0, Pen=Down
Point 205: X=171, Y=288, Z=0, Pen=Down
Point 206: X=170, Y=287, Z=0, Pen=Down
Point 207: X=170, Y=287, Z=10, Pen=Up
Point 208: X=299, Y=171, Z=10, Pen=Up
Point 209: X=299, Y=171, Z=0, Pen=Down
Point 210: X=300, Y=170, Z=0, Pen=Down
Point 211: X=301, Y=171, Z=0, Pen=Down
Point 212: X=307, Y=171, Z=0, Pen=Down
Point 213: X=308, Y=172, Z=0, Pen=Down
Point 214: X=310, Y=172, Z=0, Pen=Down
Point 215: X=311, Y=173, Z=0, Pen=Down
Point 216: X=313, Y=173, Z=0, Pen=Down
Point 217: X=315, Y=175, Z=0, Pen=Down
Point 218: X=316, Y=175, Z=0, Pen=Down
Point 219: X=317, Y=176, Z=0, Pen=Down
Point 220: X=318, Y=176, Z=0, Pen=Down
Point 221: X=324, Y=182, Z=0, Pen=Down
Point 222: X=324, Y=183, Z=0, Pen=Down
Point 223: X=325, Y=184, Z=0, Pen=Down
Point 224: X=325, Y=185, Z=0, Pen=Down
Point 225: X=327, Y=187, Z=0, Pen=Down
Point 226: X=327, Y=189, Z=0, Pen=Down
Point 227: X=328, Y=190, Z=0, Pen=Down
Point 228: X=328, Y=192, Z=0, Pen=Down
Point 229: X=329, Y=193, Z=0, Pen=Down
Point 230: X=329, Y=199, Z=0, Pen=Down
Point 231: X=330, Y=200, Z=0, Pen=Down
Point 232: X=329, Y=201, Z=0, Pen=Down
Point 233: X=329, Y=207, Z=0, Pen=Down
Point 234: X=328, Y=208, Z=0, Pen=Down
Point 235: X=328, Y=210, Z=0, Pen=Down
Point 236: X=327, Y=211, Z=0, Pen=Down
Point 237: X=327, Y=213, Z=0, Pen=Down
Point 238: X=325, Y=215, Z=0, Pen=Down
Point 239: X=325, Y=216, Z=0, Pen=Down
Point 240: X=324, Y=217, Z=0, Pen=Down
Point 241: X=324, Y=218, Z=0, Pen=Down
Point 242: X=318, Y=224, Z=0, Pen=Down
Point 243: X=317, Y=224, Z=0, Pen=Down
Point 244: X=316, Y=225, Z=0, Pen=Down
Point 245: X=315, Y=225, Z=0, Pen=Down
Point 246: X=313, Y=227, Z=0, Pen=Down
Point 247: X=311, Y=227, Z=0, Pen=Down
Point 248: X=310, Y=228, Z=0, Pen=Down
Point 249: X=308, Y=228, Z=0, Pen=Down
Point 250: X=307, Y=229, Z=0, Pen=Down
Point 251: X=301, Y=229, Z=0, Pen=Down
Point 252: X=300, Y=230, Z=0, Pen=Down
